month,vendor_id,revenue,stock_value,unsold_stock_value,on_time_delivery_pct,defect_rate_pct
2025-01,VND-001,132000,356000,87000,93,2.1
2025-02,VND-001,146000,369000,84000,94,1.8
2025-03,VND-001,151000,385000,89000,94,1.7
2025-04,VND-001,158000,401000,93000,95,1.6
2025-05,VND-001,169000,420000,96000,94,1.8
2025-01,VND-004,91000,163000,61000,86,3.4
2025-02,VND-004,78000,181000,72000,84,3.8
2025-03,VND-004,69000,195000,81000,82,4.2
2025-04,VND-004,64000,207000,89000,81,4.4
2025-05,VND-004,58000,210000,93000,82,4.1
2025-01,VND-009,438000,314000,51000,97,0.9
2025-02,VND-009,489000,325000,48000,98,0.8
2025-03,VND-009,524000,338000,46000,98,0.7
2025-04,VND-009,594000,351000,43000,99,0.6
2025-05,VND-009,635000,360000,43000,98,0.7
2025-01,VND-010,222000,281000,116000,78,4.4
2025-02,VND-010,195000,306000,139000,76,4.8
2025-03,VND-010,178000,329000,161000,75,5.1
2025-04,VND-010,166000,344000,181000,73,5.6
2025-05,VND-010,149000,355000,191000,74,5.2
